Timestamp,Author,Title,Sentence,Category
2025-02-20 16:34:25.273000+00:00,spookiehd,teintexpress,travail sur la page magasin en prenant en compte les demandes d'allios,front
2025-02-20 16:34:25.273000+00:00,spookiehd,teintexpress,travail sur la page de génération de thèmes en prenant en compte l'état de traitement de la demande tribuneo,front
2025-02-20 16:34:25.273000+00:00,spookiehd,teintexpress,support technique  bot discord:,back
2025-02-20 16:34:25.273000+00:00,spookiehd,teintexpress,travail sur le bot - essaie de nettoyage des données neotech et de les classer par catégorie,back
2025-02-19 16:31:40.908000+00:00,jeremyjuppet,teintexpress,"travail sur la page magasin et sur les thèmes, en cours",front
2025-02-19 16:31:40.908000+00:00,jeremyjuppet,teintexpress,"travail sur la génération du fichier de formulation (visualisation), en cours bot discord:",back
2025-02-19 16:31:40.908000+00:00,jeremyjuppet,teintexpress,travail sur le bot : entrainement du modèle avec les données des rapports existants,back
2025-02-18 16:35:54.274000+00:00,emy_lctr,:,gestion du cas tribuneo,general
2025-02-18 16:35:54.274000+00:00,emy_lctr,:,début des recherches sur les différents mode de paiement pour le nouveau bâtiment,general
2025-02-18 16:35:54.274000+00:00,emy_lctr,:,modernisation du bulletin d'adhésion commerçants caramax,general
2025-02-18 16:32:06.918000+00:00,jeremyjuppet,teintexpress,point sur les tâches à restante sur la partie magasin,front
2025-02-18 16:32:06.918000+00:00,jeremyjuppet,teintexpress,"refactorisation du code de la page magasin, en cours",front
2025-02-18 16:32:06.918000+00:00,jeremyjuppet,teintexpress,travail sur la génération du fichier de formulation (visualisation) bot discord:,back
2025-02-18 16:32:06.918000+00:00,jeremyjuppet,teintexpress,travail sur le bot,back
2025-02-17 16:37:33.679000+00:00,emy_lctr,:,récupération des dernières données commerçants pour la tournée de prospection,general
2025-02-17 16:37:33.679000+00:00,emy_lctr,:,,general
2025-02-17 16:37:33.679000+00:00,emy_lctr,listing des documents nécessaires à la tournée de prospection caramax,modernisation du bon de commande caramax avec création de l'exemplaire commerçant ocam et de l'exemplaire commerçant hors ocam,general
2025-02-17 16:32:41.680000+00:00,jeremyjuppet,tribuneo:,publication de l'app sur l'apple store,report
2025-02-17 16:32:41.680000+00:00,jeremyjuppet,tribuneo:,correction/ajout des remarques faites vendredi lors de la réunion avec vdpc.,general
2025-02-17 16:32:41.680000+00:00,jeremyjuppet,tribuneo:,"déploiement en prod des màj (web, backoffice et api)",front
2025-02-17 16:32:41.680000+00:00,jeremyjuppet,tribuneo:,envoie du fichier à judi pour la transformation des chèques en version papier.,back
2025-02-17 16:32:41.680000+00:00,jeremyjuppet,teintexpress,reprise du projet bot discord:,back
2025-02-17 16:32:41.680000+00:00,jeremyjuppet,teintexpress,nettoyage et catégorisation des données de rapport sur neotech,database
2025-02-14 16:36:46.120000+00:00,emy_lctr,-,suite de l'élaboration du plan de tournée caramax,general
2025-02-14 16:36:46.120000+00:00,emy_lctr,-,gestion du cas tribuneo pour la bijouterie richebois à oraison,general
2025-02-14 16:36:46.120000+00:00,emy_lctr,-,gestion des appels utilisateur tribuneo,general
2025-02-14 16:36:46.120000+00:00,emy_lctr,-,modifications apportées au document vdpc suite à la réunion,general
2025-02-14 16:36:18.730000+00:00,jeremyjuppet,tribuneo:,publication de l'app sur play store,report
2025-02-14 16:36:18.730000+00:00,jeremyjuppet,tribuneo:,support technique,general
2025-02-14 16:36:18.730000+00:00,jeremyjuppet,tribuneo:,réunion avec vdpc bot discord:,general
2025-02-14 16:36:18.730000+00:00,jeremyjuppet,tribuneo:,travail bot,back
2025-02-13 16:33:17.471000+00:00,spookiehd,tribuneo:,mise en prod du back-office et de l'appli web (vdpc et kdo4).,front
2025-02-13 16:33:17.471000+00:00,spookiehd,tribuneo:,support technique,general
2025-02-13 16:33:17.471000+00:00,spookiehd,tribuneo:,investigation et résolution du problème de connexion pour diva lingerie & terre d'oc bot discord:,back
2025-02-13 16:33:17.471000+00:00,spookiehd,tribuneo:,travail bot + réunion avec kathleen et hana,general
2025-02-12 16:52:35.795000+00:00,jeremyjuppet,tribuneo:,"tests général, du back-office, de la version web et de l'application pour les deux réseaux (kdo4,vdpc)",front
2025-02-12 16:52:35.795000+00:00,jeremyjuppet,tribuneo:,corrections de plusieurs bugs + redéploiement en preprod pour tester à nouveau.,back
2025-02-12 16:52:35.795000+00:00,jeremyjuppet,bot discord:,travail bot : entrainement sur les rapports quotidiens du serveur discord neotech,back
2025-02-11 16:39:52.623000+00:00,emy_lctr,-,réalisation du document vdpc,general
2025-02-11 16:39:52.623000+00:00,emy_lctr,-,échange avec muriel,general
2025-02-11 16:39:52.623000+00:00,emy_lctr,-,élaboration du plan de tournée caramax,general
2025-02-11 16:35:02.733000+00:00,jeremyjuppet,tribuneo:,mise en preprod de l'api (kdo4 + vdpc),back
2025-02-11 16:35:02.733000+00:00,jeremyjuppet,tribuneo:,backup de la base de données kdo4,back
2025-02-11 16:35:02.733000+00:00,jeremyjuppet,tribuneo:,mise à jour et réinitialisation des bases de données de preprod pour les tests,database
2025-02-11 16:35:02.733000+00:00,jeremyjuppet,tribuneo:,création du document : instructions de déploiement de l'api bot discord:,front
2025-02-11 16:35:02.733000+00:00,jeremyjuppet,tribuneo:,travail devoir école + bot,back
2025-02-10 16:36:24.471000+00:00,jeremyjuppet,tribuneo:,mise en preprod du back-office (kdo4 + vdpc),back
2025-02-10 16:36:24.471000+00:00,jeremyjuppet,tribuneo:,mise en preprod la version web (kdo4 + vdpc),front
2025-02-10 16:36:24.471000+00:00,jeremyjuppet,tribuneo:,test de l'appli sur ios en vue de la future publication de la màj,front
2025-02-10 16:36:24.471000+00:00,jeremyjuppet,tribuneo:,réunion avec emily et judi pour parler des statistiques et autres bot discord:,general
2025-02-10 16:36:24.471000+00:00,jeremyjuppet,tribuneo:,travail devoir école + bot,back
2025-02-10 16:35:28.046000+00:00,emy_lctr,-,"suite de la recherche de prospect caramax / tribuneo dans la ""nouvelle"" zone  - échange avec la présidente des vdpc sur le visuel attendu pour l'ag du 17 février",general
2025-02-07 16:31:42.899000+00:00,jeremyjuppet,tribuneo:,"travail api : gestion du taux de frais de gestion à 0% et des écritures compta - travail sur l'app mobile : correction, de l'affichage de la caméra (scanner qr code)",front
2025-02-07 16:31:42.899000+00:00,jeremyjuppet,tribuneo:,travail web :  ajout du formulaire de saisie de rib pour les commerçants.,front
2025-02-07 16:31:42.899000+00:00,jeremyjuppet,"fait, avec vérification des données",travail back-office :,back
2025-02-07 16:31:42.899000+00:00,jeremyjuppet,"fait, avec vérification des données","sélection par défaut de l'événement ""hors événement urssaf"" pour vdpc",general
2025-02-07 16:31:42.899000+00:00,jeremyjuppet,"fait, avec vérification des données","retrait par défaut du checkbox ""accepte démat' """,general
2025-02-07 16:31:42.899000+00:00,jeremyjuppet,sur la création d'un commerçant bot discord:,travail sur la génération de rapports quotidiens en utilisant schedular.,report
2025-02-07 16:31:42.899000+00:00,jeremyjuppet,sur la création d'un commerçant bot discord:,travail avec le modèle nlp pour récupérer les données passées et les traiter.,database
2025-02-06 16:36:35.426000+00:00,jeremyjuppet,tribuneo:,"travail api : correction sur la création des utilisateurs commerçants de vdpc  - travail sur l'app mobile : correction, empêcher l'annulation des demandes de remboursement",front
2025-02-06 16:36:35.426000+00:00,jeremyjuppet,tribuneo:,,back
2025-02-06 16:36:35.426000+00:00,jeremyjuppet,travail web :,"ajout du formulaire de saisie de rib pour les commerçants, en cours",report
2025-02-06 16:36:35.426000+00:00,jeremyjuppet,travail web :,gestion des thèmes sur toutes les pages,front
2025-02-06 16:36:35.426000+00:00,jeremyjuppet,travail web :,et autres petites corrections bot discord:,back
2025-02-06 16:36:35.426000+00:00,jeremyjuppet,travail web :,travail sur la génération de rapports quotidien automatique,report
2025-02-05 18:52:17.332000+00:00,spookiehd,tribuneo:,"réunion avec béatrice, prise de note des différentes fonctionnalités a ajouté plus",general
2025-02-05 18:52:17.332000+00:00,spookiehd,tard,"rencontre d'un problème a la création d'une demande en direct, bug a corrigé",front
2025-02-05 18:52:17.332000+00:00,spookiehd,tard,résolution d'un bug d'affichage de la caméra (notamment sur ios),front
2025-02-05 18:52:17.332000+00:00,spookiehd,", création d'un modal de redirection de permissions d'accès a la caméra teintexpress:",réunion et prise de note avec allios pour l'affichage de la partie magasin,general
2025-02-05 18:52:17.332000+00:00,spookiehd,", création d'un modal de redirection de permissions d'accès a la caméra teintexpress:","réunion avec jordan, création d'un user sur la base de données pour pouvoir travailler bot discord:",general
2025-02-05 18:52:17.332000+00:00,spookiehd,", création d'un modal de redirection de permissions d'accès a la caméra teintexpress:",travail sur le bot,back
2025-02-04 17:00:39.898000+00:00,emy_lctr,-,"recherche de prospect caramax / tribuneo dans la ""nouvelle"" zone étendue sur tout le secteur manosquin et pas seulement le centre ville",general
2025-02-04 17:00:39.898000+00:00,emy_lctr,-,informations sur l’utilisation du de neofid par le milord,general
2025-02-04 16:35:03.586000+00:00,spookiehd,tribuneo:,travail sur la version web,front
2025-02-04 16:35:03.586000+00:00,spookiehd,tribuneo:,ajout d'un système d'auto remplissage de formulaire de login sur le navigateur teintexpress:,database
2025-02-04 16:35:03.586000+00:00,spookiehd,tribuneo:,travail et réajustement de la page magasin en vue de la présentation de demain à allios bot discord:,front
2025-02-04 16:35:03.586000+00:00,spookiehd,tribuneo:,travail sur le bot,back
2025-02-03 16:40:03.991000+00:00,jeremyjuppet,tribuneo:,travail sur la version web,front
2025-02-03 16:40:03.991000+00:00,jeremyjuppet,tribuneo:,"travail sur l'app mobile, pour la correction des bugs ios.",front
2025-02-03 16:40:03.991000+00:00,jeremyjuppet,corrigés mais à tester avec un iphone bot discord:,reprise du travail,back
2025-02-03 16:37:53.536000+00:00,emy_lctr,-,gestion de l'appel tribuneo,general
2025-02-03 16:37:53.536000+00:00,emy_lctr,-,"apport des modification aux documents ""tuto"" pour vdpc",general
2025-02-03 16:37:53.536000+00:00,emy_lctr,-,"recherche de prospect caramax / tribuneo dans la ""nouvelle"" zone étendue sur tout le secteur manosquin et pas seulement le centre ville",general
2025-01-31 16:34:22.451000+00:00,jeremyjuppet,tribuneo:,travail sur la version web :  - gros travail pour rendre le code similaire à l'application mobile,front
2025-01-31 16:34:22.451000+00:00,jeremyjuppet,tribuneo:,implémentation du système de thème - ajout du thème vdpc et des images teintexpress:,front
2025-01-31 16:34:22.451000+00:00,jeremyjuppet,tribuneo:,ajout de l'utilisation des thèmes sur page opérateur,front
2025-01-31 16:34:22.451000+00:00,jeremyjuppet,tribuneo:,travail sur la fermeture des boites de dialogue,report
2025-01-29 16:51:09.629000+00:00,jeremyjuppet,tribuneo:,support technique : appels et reprise de contact avec certaines personnes demandant la version papier - travail sur la version web,general
2025-01-29 16:51:09.629000+00:00,jeremyjuppet,tribuneo:,"contact avec béatrice, qui préférait décaler la réunion démo.",general
2025-01-29 16:51:09.629000+00:00,jeremyjuppet,partage des manuels d'utilisation teintexpress:,travail sur la page des thèmes,front
2025-01-29 16:51:09.629000+00:00,jeremyjuppet,partage des manuels d'utilisation teintexpress:,travail sur les scroll bars des autres pages et la structure des tableaux,front
2025-01-28 16:56:47.343000+00:00,jeremyjuppet,tribuneo:,"contact avec judi, pour répondre à ses demandes - problème requêtes sur l'api tribuneo.",back
2025-01-28 16:56:47.343000+00:00,jeremyjuppet,j'ai bloqué l'accès tant qu'on n'a pas retravaillé dessus.,debug de la nouvelle version de l'application mobile sur ios avec emy.,front
2025-01-28 16:56:47.343000+00:00,jeremyjuppet,nos fichiers d'import de facture ont bien les prénoms...,changement du taux de tva de la finlande  teintexpress:,front
2025-01-28 16:56:47.343000+00:00,jeremyjuppet,nos fichiers d'import de facture ont bien les prénoms...,travail sur les thèmes,report
2025-01-28 16:34:14.995000+00:00,emy_lctr,-,gestion des appels tribuneo,general
2025-01-28 16:34:14.995000+00:00,emy_lctr,-,,general
2025-01-27 16:35:47.296000+00:00,emy_lctr,-,"gestion de l'appel tribuneo création et écriture du document ""tuto"" pour vdpc (quasi terminé)",general
2025-01-27 16:32:13.841000+00:00,jeremyjuppet,tribuneo:,"aide à l'écriture des documents ""tuto"" pour vdpc - ajout des secteurs d'activités aux commerçants partenaires avec emy - travail sur la version web teintexpress:",front
2025-01-27 16:32:13.841000+00:00,jeremyjuppet,tribuneo:,point projet,database
2025-01-24 16:36:55.817000+00:00,emy_lctr,-,gestion appels tribuneo,general
2025-01-24 16:36:55.817000+00:00,emy_lctr,-,echange avec jérémy sur les demandes vdpc,general
2025-01-24 16:36:55.817000+00:00,emy_lctr,-,début de l'ajout des secteurs d'activités aux commerçants vdpc avec jérémy,general
2025-01-24 16:35:53.339000+00:00,jeremyjuppet,tribuneo:,contact avec béatrice :,report
2025-01-24 16:35:53.339000+00:00,jeremyjuppet,tribuneo:,ils ont changé la date de distribution des coupons cadeaux.,front
2025-01-24 16:35:53.339000+00:00,jeremyjuppet,(d'au moins une semaine),prévision d'un rendez-vous pour démo/formation du back-office jeudi prochain entre 12h15 et 13h15,back
2025-01-24 16:35:53.339000+00:00,jeremyjuppet,(d'au moins une semaine),ajout des secteurs d'activités aux commerçants partenaires avec emy (pas terminé),front
2025-01-24 16:35:53.339000+00:00,jeremyjuppet,(d'au moins une semaine),"travail sur la version web, en cours",front
2025-01-23 16:52:19.764000+00:00,jeremyjuppet,tribuneo:,"mise en place d'un système de logger sur les api (en production), pour avoir une trace de toutes les requêtes et réponse",back
2025-01-23 16:52:19.764000+00:00,jeremyjuppet,tribuneo:,commencement du travail sur la version web,front
2025-01-23 16:52:19.764000+00:00,jeremyjuppet,tribuneo:,import des commerçants partenaires vdpc et de leurs adresses.,database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,derniers tests de l'application mobile,database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,"gestion des comptes admin de google console : ajout antoine, suppression des autres comptes",database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,paiement de l'abonnement apple développeur android:,front
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,compilation et signature de l'appbundle,report
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,envoie de la mise à jour en validation,report
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,app à jour sur le google play ios :,front
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,récupération du projet de l'app sur le mac,database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,test sur iphone,database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,"configuration de xcode,  - compilation et signature de ipa",database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,utilisation de transporteur pour envoyer l'ipa sur apple developper - envoie de la mise à jour en validation,report
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,app à jour sur apple store serveur :,database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,clone des serveurs et génération des certificats ssl,database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,tribuneo:,"pour les sous-domaines : apivdpc , webvdpc , backofficevdpc.",front
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,db :,mise à jours de la base kdo4 ( ajout des colonnes 'id_netword' sur 3 tables et set la valeur à 1 ),database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,db :,mise à jours de la base vdpc ( ajout des colonnes 'id_netword' sur 3 tables et set la valeur à 2 ),database
2025-01-22 21:34:08.523000+00:00,jeremyjuppet,db :,création du compte vdpcadmin et des autres infos qui sont liées au compte.,front
2025-01-21 16:41:49.697000+00:00,jeremyjuppet,tribuneo:,test et corrections globales (application mobile et api),back
2025-01-21 16:41:49.697000+00:00,jeremyjuppet,tribuneo:,correction des problèmes de modification d'utilisateur entre les deux api,front
2025-01-21 16:41:49.697000+00:00,jeremyjuppet,tribuneo:,correction des transactions entre les différents réseaux (consommateur vers un commerçant et consommateur vers consommateur),front
2025-01-21 16:41:49.697000+00:00,jeremyjuppet,tribuneo:,"ajout du blocage des demandes de remboursement pour les commerçants vdpc, bouton de redirection vers la version web (sur laquelle il sera plus simple de créer et de publier un formulaire de saisie de rib)",front
2025-01-21 16:41:49.697000+00:00,jeremyjuppet,tribuneo:,correction de scan de coupon d'un réseau différent de celui du consommateur.,front
2025-01-21 16:41:49.697000+00:00,jeremyjuppet,tribuneo:,et d'autres petites corrections,back
2025-01-21 16:34:01.093000+00:00,emy_lctr,-,suite de la modification du fichier commerçants vdpc,general
2025-01-21 16:34:01.093000+00:00,emy_lctr,-,gestion appels tribuneo,general
2025-01-20 16:39:57.771000+00:00,jeremyjuppet,tribuneo:,"test global, pas terminé",general
2025-01-20 16:39:57.771000+00:00,jeremyjuppet,tribuneo:,correction sur la génération de factures et de mise à jour de mot de passe utilisateur (communication entre les deux api),general
2025-01-20 16:33:58.603000+00:00,emy_lctr,-,suite de la modification du fichier commerçants vdpc,general
2025-01-20 16:33:58.603000+00:00,emy_lctr,-,gestion appels tribuneo,general
2025-01-17 16:29:32.269000+00:00,emy_lctr,-,suite de la création du fichier commerçants vdpc,general
2025-01-17 16:29:32.269000+00:00,emy_lctr,-,gestion appels tribuneo,general
2025-01-17 16:29:32.269000+00:00,emy_lctr,-,modification visuel vdpc,general
2025-01-17 16:22:19.529000+00:00,jeremyjuppet,tribuneo:,"travail sur l'application mobile : thème vpdc, ok",database
2025-01-17 16:22:19.529000+00:00,jeremyjuppet,tribuneo:,correction de petits problèmes sur l'api,back
2025-01-17 16:22:19.529000+00:00,jeremyjuppet,tribuneo:,tests de l'application mobile,report
2025-01-17 16:22:19.529000+00:00,jeremyjuppet,tribuneo:,tests du back-office,back
2025-01-17 16:22:19.529000+00:00,jeremyjuppet,tribuneo:,problème de connexion pour les commerçants vdpc corrigé teintexpress:,back
2025-01-17 16:22:19.529000+00:00,jeremyjuppet,tribuneo:,update des thèmes terminé,report
2025-01-16 16:41:26.470000+00:00,jeremyjuppet,tribuneo:,travail sur l'application mobile : thème vpdc - correction de l'api,back
2025-01-16 16:41:26.470000+00:00,jeremyjuppet,tribuneo:,tests de l'application mobile,report
2025-01-16 16:41:26.470000+00:00,jeremyjuppet,tribuneo:,découverte problème de connexion pour les commerçants vdpc teintexpress:,back
2025-01-16 16:41:26.470000+00:00,jeremyjuppet,tribuneo:,travail sur le crud des thèmes magasin,back
2025-01-16 16:41:26.470000+00:00,jeremyjuppet,tribuneo:,"création des principaux thèmes (jefco, soframap, ...)",front
2025-01-15 16:36:20.067000+00:00,jeremyjuppet,tribuneo:,travail sur l'application mobile : thème vpdc - travail sur l'api sur la partie compta teintexpress:,back
2025-01-15 16:36:20.067000+00:00,jeremyjuppet,tribuneo:,travail sur les thèmes magasin,front
2025-01-14 16:49:13.268000+00:00,jeremyjuppet,tribuneo:,travail sur l'application mobile : thème vpdc et connexion aux deux api teintexpress:,front
2025-01-14 16:49:13.268000+00:00,jeremyjuppet,tribuneo:,travail sur les thèmes magasin,front
2025-01-14 16:30:20.966000+00:00,emy_lctr,-,suite de la création du fichier commerçants vdpc,general
2025-01-13 16:35:23.862000+00:00,emy_lctr,-,gestion des appels tribuneo,general
2025-01-13 16:35:23.862000+00:00,emy_lctr,-,suite de la création du fichier commerçants vdpc,general
2025-01-13 16:34:53.254000+00:00,jeremyjuppet,tribuneo:,mise en pre-production de l'api (apidev et apivdpcdev),back
2025-01-13 16:34:53.254000+00:00,jeremyjuppet,tribuneo:,tests d'appels api en pre,general
2025-01-13 16:34:53.254000+00:00,jeremyjuppet,tribuneo:,,back
2025-01-13 16:34:53.254000+00:00,jeremyjuppet,production,"préparation au travail sur l'application, pour demain teintexpress:",front
2025-01-13 16:34:53.254000+00:00,jeremyjuppet,production,create et update d'une demande magasin : ok,database
2025-01-13 16:34:53.254000+00:00,jeremyjuppet,production,"ajoute de la condition pour l'update tant que la demande est en statut ""à traiter""",report
2025-01-13 16:34:53.254000+00:00,jeremyjuppet,production,retrait des filtres sur la page demande pour les magasins,front
2025-01-10 16:51:48.483000+00:00,jeremyjuppet,tribuneo:,travail sur la création du thème vdpc,front
2025-01-10 16:51:48.483000+00:00,jeremyjuppet,tribuneo:,ajout et test de création d'un qr code vdpc teintexpress:,front
2025-01-10 16:51:48.483000+00:00,jeremyjuppet,tribuneo:,travail sur l'update d'une requête magasin neofid studio,database
2025-01-10 16:51:48.483000+00:00,jeremyjuppet,tribuneo:,travail sur les factures manquantes et création d'un script de lecture de fichier json pour exporter les données manquantes,front
2025-01-10 16:51:48.483000+00:00,jeremyjuppet,tribuneo:,import des factures,report
2025-01-10 16:31:11.904000+00:00,emy_lctr,-,gestion de l’appel tribuneo,general
2025-01-10 16:31:11.904000+00:00,emy_lctr,-,suite de la création du fichier commerçants vdpc,general
2025-01-10 16:31:11.904000+00:00,emy_lctr,-,modification des visuels des coupons vdpc,general
2025-01-09 16:30:25.214000+00:00,spookiehd,tribuneo:,"travail sur l'api, ajout de valeur dynamique par rapport au réseau (transaction, commande...)",back
2025-01-09 16:30:25.214000+00:00,spookiehd,tribuneo:,test de la commande au remboursement d'un commerçant teintexpress:,back
2025-01-09 16:30:25.214000+00:00,spookiehd,tribuneo:,"travail front, ajout scroll horizontal des tableaux et dialogue de confirmation de déconnexion - ajout de la route sur l'api : update d'une demande",front
2025-01-08 16:30:32.020000+00:00,jeremyjuppet,tribuneo:,"travail sur l'api, ajout et tests des templates (factures et justificatifs) pour vdpc teintexpress:",back
2025-01-08 16:30:32.020000+00:00,jeremyjuppet,tribuneo:,"travail front, modification des demandes de formulation et sur le scrolling horizontal neofid",front
2025-01-08 16:30:32.020000+00:00,jeremyjuppet,tribuneo:,correction des bons pour le lycée,back
2025-01-07 16:52:34.056000+00:00,jeremyjuppet,tribuneo:,"travail sur l'api principalement sur les ""id_network"" et la liaison entre les deux api et bdd  neofid",front
2025-01-07 16:52:34.056000+00:00,jeremyjuppet,tribuneo:,aide à la facturation de fasthotel,report
2025-01-07 16:36:31.703000+00:00,emy_lctr,-,gestion appels tribuneo,general
2025-01-07 16:36:31.703000+00:00,emy_lctr,-,aide à la création de compte et à la connexion,general
2025-01-07 16:36:31.703000+00:00,emy_lctr,-,suite de la création du fichier commerçants vdpc,general
2025-01-06 16:36:29.443000+00:00,jeremyjuppet,tribuneo:,travail sur l'application mobile,report
2025-01-06 16:36:29.443000+00:00,jeremyjuppet,tribuneo:,travail sur le back-office,back
2025-01-06 16:36:29.443000+00:00,jeremyjuppet,tribuneo:,réflexion et mise sur papier du fonctionnement entre les api teintexpress:,back
2025-01-06 16:36:29.443000+00:00,jeremyjuppet,tribuneo:,remise en route du projet sur le pc de dharti,database
2025-01-06 16:36:29.443000+00:00,jeremyjuppet,tribuneo:,travail sur la création de demande pour les magasins,front
2025-01-06 16:33:06.578000+00:00,emy_lctr,-,gestion appels tribuneo,general
2025-01-06 16:33:06.578000+00:00,emy_lctr,-,aide à la création de compte et à la connexion,general
2025-01-06 16:33:06.578000+00:00,emy_lctr,-,suite de la création du fichier commerçants vdpc,general
2025-01-03 16:32:09.470000+00:00,jeremyjuppet,tribuneo:,"mise à jour de l'environnement flutter, ok",front
2025-01-03 16:32:09.470000+00:00,jeremyjuppet,tribuneo:,remise en route du back-office,back
2025-01-03 16:32:09.470000+00:00,jeremyjuppet,tribuneo:,calcul facturation,general
2025-01-03 16:32:09.470000+00:00,jeremyjuppet,tribuneo:,support technique,general
2025-01-03 16:29:49.784000+00:00,emy_lctr,-,gestion appels tribuneo,general
2025-01-03 16:29:49.784000+00:00,emy_lctr,-,aide à la création de compte et à la connexion,general
2025-01-03 16:29:49.784000+00:00,emy_lctr,-,création du fichier commerçants vdpc,general
2025-01-02 16:35:57.145000+00:00,jeremyjuppet,tribuneo:,"tentative de mise à jour de l'environnement flutter, problèmes actuellement non résolus",front
2024-12-31 16:36:46.382000+00:00,jeremyjuppet,tribuneo:,création du script sql d'update des tables de la base de données,front
2024-12-31 16:36:46.382000+00:00,jeremyjuppet,tribuneo:,ajout de tâches supplémentaire dans l'espace notion,back
2024-12-31 16:36:46.382000+00:00,jeremyjuppet,tribuneo:,remise en place de l'environnement de développement flutter,front
2024-12-31 11:33:08.331000+00:00,emy_lctr,-,réalisation de maquettes pour les vdpc,general
2024-12-31 11:33:08.331000+00:00,emy_lctr,-,recherche prospect caramax,general
2024-12-30 16:40:53.333000+00:00,emy_lctr,-,gestion appels tribuneo,general
2024-12-30 16:40:53.333000+00:00,emy_lctr,-,aide à la création de compte et à la connexion,general
2024-12-30 16:40:53.333000+00:00,emy_lctr,-,recherche de salons,general
2024-12-30 16:40:53.333000+00:00,emy_lctr,-,recherche prospect caramax,general
2024-12-30 16:35:21.466000+00:00,jeremyjuppet,tribuneo:,mise au point des tâches réaliser la semaine dernière par antoine.,report
